QuestionID,AlternativesID,AlternativeText,VerifyID
1001,1021,B) O apoio pedagógico,1
1001,1031,C) Um amigo que não tem instruções e estudo de como ajudar psicologicamente e pedagogicamente alguém,0
1002,1012,A) André Luís Dalcastagnê,1
1002,1022,B) Matheus Leitzke Pinto,0
1002,1032,C) Alexandre Leizor Szczupak,0
1003,1013,A) Química,1
1003,1023,B) Eletrotécnica,0
1003,1033,C) Edificações,0
2101,2111,A) Diamante,0
2101,2121,B) Adamantium,1
2101,2131,C) Vibranium,0
2102,2112,A) Engenheiro Civil,0
2102,2122,B) Arquiteto,1
2102,2132,C) Pedreiro,0
2103,2113,A) Matilha,1
2103,2123,B) Manada,0
2103,2133,C) Alcateia,0
2201,2211,A) Equilátero,0
2201,2221,B) Isósceles,0
2201,2231,C) Escaleno,1
2202,2212,A) Veneno,0
2202,2222,B) Veia,1
2202,2232,C) Vela,0
2203,2223,A) Estômago,0
2203,2223,B) Pâncreas,0
2203,2233,C) Boca,1
2301,2311,A) 12 Signos,1
2301,2321,B) 10 Signos,0
2301,2331,C) 14 Signos,0
2302,2312,A) Curupira,0
2302,2322,B) Saci Perere,1
2302,2332,C) Boitatá,0
2303,2313,A) Papagaio,0
2303,2323,B) Arara,1
2303,2333,C) Tucano,0
2401,2411,A) Repercussão,0
2401,2421,B) Percussão,0
2401,2431,C) Cordas,1
2402,2412,A) Espanha,1
2402,2422,B) França,0
2402,2432,C) Bélgica,0
2403,2413,A) Chicago,0
2403,2423,B) Nova York,0
2403,2433,C) Washington,1
2501,2511,A) Arnold Schwarzenegger,0
2501,2521,B) Sylvester Stallone,1
2501,2531,C) Jean-Claude Van Damme,0
2502,2512,A) Rocky Balboa,0
2502,2522,B) Apollo Creed,1
2502,2532,C) Ivan Drago,0
2503,2513,A) Adonis Creed,0
2503,2523,B) Rocky Balboa,0
2503,2533,C) Ivan Drago,1
2601,2611,A) Nauru e China,0
2601,2621,B) São Marino e Índia,0
2601,2631,C) Vaticano e Rússia,1
2602,2612,A) 6 contando o goleiro,0
2602,2622,B) 10 contando o goleiro,0
2602,2632,C) 7 contando o goleiro,1
2603,2613,A) Cubana,0
2603,2623,B) Argentina,1
2603,2633,C) Boliviana,0
2701,2711,A) Pico da Neblina,1
2701,2721,B) Pico Paraná,0
2701,2731,C) Pico Maior de Friburgo,0
2702,2712,A) Montesquieu,0
2702,2722,B) Maquiavel,1
2702,2732,C) Thomas Hobbes,0
2703,2713,A) Brasil,0
2703,2723,B) Rússia,1
2703,2733,C) Estados Unidos,0
2801,2811,A) Oceano Atlântico,0
2801,2821,B) Oceano Índico,1
2801,2831,C) Oceano Ártico,0
2802,2812,A) Cobre,0
2802,2822,B) Ouro,1
2802,2832,C) Manganês,0
2803,2813,A) Leonardo da Vinci,0
2803,2823,B) Michelangelo,1
2803,2833,C) Donatello,0
2901,2911,A) Pink Floyd,0
2901,2921,B) The Police,0
2901,2931,C) The Doors,1
2902,2912,A) Norueguesa,0
2902,2922,B) Inglesa,0
2902,2932,C) Francesa,1
2903,2913,"A) Diana, a Princesa de Gales",1
2903,2923,B) Carlota Joaquina,0
2903,2933,C) Joana d’Arc,0
2001,2011,A) Marie Curie,1
2001,2021,B) Elizabeth Blackweel,0
2001,2031,C) Madre Teresa de Calcutá,0
2002,2012,A) Decapitado,0
2002,2022,B) Enforcado,1
2002,2032,C) Suicídio,0
2003,2013,A) Alemanha,0
2003,2023,B) Áustria,0
2003,2033,C) Polônia,1
